Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature,Quality
IDCJAC0004,009021,1944,06,8.1,Y
IDCJAC0004,009021,1944,07,7.7,Y
IDCJAC0004,009021,1944,08,7.1,Y
IDCJAC0004,009021,1944,09,7.9,Y
IDCJAC0004,009021,1944,10,10.5,Y
IDCJAC0004,009021,1944,11,12.8,Y
IDCJAC0004,009021,1944,12,12.1,Y
IDCJAC0004,009021,1945,01,14.3,Y
IDCJAC0004,009021,1945,02,17.7,Y
IDCJAC0004,009021,1945,03,15.0,Y
IDCJAC0004,009021,1945,04,15.1,Y
IDCJAC0004,009021,1945,05,11.5,Y
IDCJAC0004,009021,1945,06,10.5,Y
IDCJAC0004,009021,1945,07,8.1,Y
IDCJAC0004,009021,1945,08,9.6,Y
IDCJAC0004,009021,1945,09,8.4,Y
IDCJAC0004,009021,1945,10,10.2,Y
IDCJAC0004,009021,1945,11,11.8,Y
IDCJAC0004,009021,1945,12,13.3,Y
IDCJAC0004,009021,1946,01,13.3,Y
IDCJAC0004,009021,1946,02,13.9,Y
IDCJAC0004,009021,1946,03,14.6,Y
IDCJAC0004,009021,1946,04,11.3,Y
IDCJAC0004,009021,1946,05,10.8,Y
IDCJAC0004,009021,1946,06,7.7,Y
IDCJAC0004,009021,1946,07,9.5,Y
IDCJAC0004,009021,1946,08,7.4,Y
IDCJAC0004,009021,1946,09,9.2,Y
IDCJAC0004,009021,1946,10,9.6,Y
IDCJAC0004,009021,1946,11,11.9,Y
IDCJAC0004,009021,1946,12,13.7,Y
IDCJAC0004,009021,1947,01,14.7,Y
IDCJAC0004,009021,1947,02,16.8,Y
IDCJAC0004,009021,1947,03,15.8,Y
IDCJAC0004,009021,1947,04,13.4,Y
IDCJAC0004,009021,1947,05,9.9,Y
IDCJAC0004,009021,1947,06,11.2,Y
IDCJAC0004,009021,1947,07,8.5,Y
IDCJAC0004,009021,1947,08,6.6,Y
IDCJAC0004,009021,1947,09,7.8,Y
IDCJAC0004,009021,1947,10,9.9,Y
IDCJAC0004,009021,1947,11,11.7,Y
IDCJAC0004,009021,1947,12,12.4,Y
IDCJAC0004,009021,1948,01,15.3,Y
IDCJAC0004,009021,1948,02,17.1,Y
IDCJAC0004,009021,1948,03,17.1,Y
IDCJAC0004,009021,1948,04,12.4,Y
IDCJAC0004,009021,1948,05,8.3,Y
IDCJAC0004,009021,1948,06,8.3,Y
IDCJAC0004,009021,1948,07,8.6,Y
IDCJAC0004,009021,1948,08,8.7,Y
IDCJAC0004,009021,1948,09,8.7,Y
IDCJAC0004,009021,1948,10,10.4,Y
IDCJAC0004,009021,1948,11,11.0,Y
IDCJAC0004,009021,1948,12,12.8,Y
IDCJAC0004,009021,1949,01,17.5,Y
IDCJAC0004,009021,1949,02,16.7,Y
IDCJAC0004,009021,1949,03,14.9,Y
IDCJAC0004,009021,1949,04,13.1,Y
IDCJAC0004,009021,1949,05,9.3,Y
IDCJAC0004,009021,1949,06,9.2,Y
IDCJAC0004,009021,1949,07,9.9,Y
IDCJAC0004,009021,1949,08,9.7,Y
IDCJAC0004,009021,1949,09,7.0,Y
IDCJAC0004,009021,1949,10,8.7,Y
IDCJAC0004,009021,1949,11,12.7,Y
IDCJAC0004,009021,1949,12,14.7,Y
IDCJAC0004,009021,1950,01,16.8,Y
IDCJAC0004,009021,1950,02,16.1,Y
IDCJAC0004,009021,1950,03,15.3,Y
IDCJAC0004,009021,1950,04,12.7,Y
IDCJAC0004,009021,1950,05,10.7,Y
IDCJAC0004,009021,1950,06,7.8,Y
IDCJAC0004,009021,1950,07,8.2,Y
IDCJAC0004,009021,1950,08,8.2,Y
IDCJAC0004,009021,1950,09,8.8,Y
