table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019;;;;;;;;;;;;;
Rank;Geographic Area;avril 1, 2010;;Population Estimate (as of July 1);;;;;;;;;
;;Census;Estimates Base;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1;New York city, New York;8175133;8175031;8190209;8272948;8346693;8396091;8433806;8463049;8469153;8437478;8390081;8336817
2;Los Angeles city, California;3792621;3793139;3795512;3820876;3851202;3881622;3909901;3938568;3963226;3975788;3977596;3979576
3;Chicago city, Illinois;2695598;2695652;2697477;2708114;2719141;2725731;2727066;2724344;2716723;2711069;2701423;2693976
4;Houston city, Texas;2099451;2095517;2100280;2126032;2161593;2199391;2241826;2286908;2309544;2316750;2318573;2320268
5;Phoenix city, Arizona;1445632;1446691;1449038;1469796;1499274;1526491;1555445;1583690;1612199;1633560;1654675;1680992
6;Philadelphia city, Pennsylvania;1526006;1526012;1528283;1540466;1551824;1558313;1565460;1571065;1576051;1580601;1583592;1584064
7;San Antonio city, Texas;1327407;1326161;1332299;1357120;1383075;1408339;1435456;1464043;1487843;1511154;1530016;1547253
8;San Diego city, California;1307402;1301929;1305906;1319592;1336776;1355320;1375831;1387323;1402089;1412621;1421917;1423851
9;Dallas city, Texas;1197816;1197658;1200350;1218282;1242115;1258835;1279098;1301329;1323916;1342479;1341802;1343573
10;San Jose city, California;945942;952528;954940;970369;983530;1001279;1014273;1025980;1030242;1032335;1028020;1021795
11;Austin city, Texas;790390;801829;806164;828459;854482;875003;901170;921114;939447;951553;962469;978908
12;Jacksonville city, Florida;821784;821750;823114;829609;837013;842735;852494;865836;880520;892025;902437;911507
13;Fort Worth city, Texas;741206;744824;748441;764142;781046;796073;815057;835356;856177;874809;893216;909585
14;Columbus city, Ohio;787033;789018;790943;800607;812740;827797;841673;854950;866894;881694;890869;898553
15;Charlotte city, North Carolina;731424;735607;738444;754829;773264;792047;807400;825668;843117;860002;872514;885708
16;San Francisco city, California;805235;805184;805505;815650;828876;839572;850750;863010;871512;878040;880696;881549
17;Indianapolis city (balance), Indiana;820445;820457;821579;827664;835499;844696;850164;853714;859049;863478;870960;876384
